tm,actual,arimax_v2_oneshot,arimax_v2_rolling,ci_low,ci_high
2025-01-01,64403,68344.2812331866,68344.2812331866,63199.446006442726,73489.11645993048
2025-01-02,77832,76756.28201880987,73922.39486058004,70419.56651083687,83092.99752678287
2025-01-03,80523,77655.50226132863,78490.94625801191,70814.07730135765,84496.9272212996
2025-01-04,68094,66226.28134931943,68269.41608962585,59152.41178427192,73300.15091436694
2025-01-05,67984,66137.67073525737,67435.64557337658,58953.38606025525,73321.95541025948
2025-01-06,83402,79342.54204488227,80641.72371444412,72105.06202509768,86580.02206466686
2025-01-07,84067,78855.85449392347,81746.49312346429,71592.54925244417,86119.15973540278
2025-01-08,85705,78060.33332679066,80629.73976890014,70556.86817536435,85563.79847821697
2025-01-09,90705,81872.49947160816,88395.18708657727,74249.22362090871,89495.7753223076
2025-01-10,89452,81630.61710791131,88438.99191161495,73949.58966502339,89311.64455079923
2025-01-11,72458,69817.48645357025,75257.41338659855,62108.39440353496,77526.57850360555
2025-01-12,70172,68350.07380924426,70286.6780380697,60627.26448144864,76072.88313703988
2025-01-13,85286,81196.41719154846,83251.89953715047,73466.86613182354,88925.96825127339
2025-01-14,83831,78882.15659573476,82455.09802757892,71149.27050930898,86615.04268216055
2025-01-15,83464,78392.77598344503,82291.06783919121,70513.3321909616,86272.21977592845
2025-01-16,85908,80323.97268762076,85579.22513921624,72370.00308754203,88277.94228769948
2025-01-17,82514,79236.57606642018,83999.14161266973,71246.42968905962,87226.72244378075
2025-01-18,68811,67294.48473486664,68732.56164268446,59286.660465259614,75302.30900447366
2025-01-19,66566,65842.20634325528,67000.68222750658,57825.69152561639,73858.72116089417
2025-01-20,82082,79120.97757964063,80925.75704838958,71100.16084184703,87141.79431743424
2025-01-21,81666,78487.45649627627,81611.13798594699,70464.49119090865,86510.42180164388
2025-01-22,80777,76393.92061452779,79271.57260218328,68235.33771705897,84552.5035119966
2025-01-23,80756,77967.29428027988,82802.15508167181,69739.5084170976,86195.08014346215
2025-01-24,79724,77324.91803295602,79648.51921310669,69063.46960187935,85586.36646403269
2025-01-25,65421,65525.26851670417,66455.89680480713,57247.3334085962,73803.20362481214
2025-01-26,64019,64611.269448898034,64498.075701546746,56325.205917198284,72897.33298059778
2025-01-27,64099,74315.65914587148,75485.89108871734,66025.5561621078,82605.76212963517
2025-01-28,61947,74279.5717857729,67936.57104424328,65987.44043026752,82571.70314127828
2025-01-29,59700,72761.31528243261,65093.83012626598,64338.10925398788,81184.52131087735
2025-01-30,63215,74351.85691395942,66296.58645460497,65861.65236912001,82842.06145879882
2025-01-31,71507,79618.05972736195,72246.91701903562,71095.21255745812,88140.90689726578
2025-02-01,66483,67721.84139259817,61012.651271840376,59182.976466384695,76260.70631881166
2025-02-02,65573,66438.04811496995,65538.44821227396,57891.26596529108,74984.83026464882
2025-02-03,82182,80424.68813587364,78162.7809763763,71873.95785186098,88975.41841988631
2025-02-04,86322,81409.01322484972,81978.10925496624,72856.29096571676,89961.73548398269
2025-02-05,86996,80043.8288458806,83026.03427615485,71363.74736434258,88723.91032741863
2025-02-06,86315,81600.16117293909,86832.84794248972,72854.88475609856,90345.43758977961
2025-02-07,90638,82380.58953276959,85885.76112314747,73603.50070594421,91157.67835959497
2025-02-08,73299,70961.08483889508,77345.9458071907,62168.35664970435,79753.81302808582
2025-02-09,70270,69471.41012756522,70911.96325189965,60670.93263636469,78271.88761876574
2025-02-10,84699,82419.45178695807,82669.29215454965,73615.0968177929,91223.80675612325
2025-02-11,83362,79770.52005891167,82041.13800526876,70964.1996796708,88576.84043815255
2025-02-12,89324,79048.79001409342,82305.87955926087,70118.48039628119,87979.09963190566
2025-02-13,81305,79371.59032783484,86933.83408465462,70377.72313398053,88365.45752168915
2025-02-14,78786,78400.14075207477,81214.34159068367,69375.21403148511,87425.06747266444
2025-02-15,66243,67370.17536579096,66889.80191026388,58329.95147329121,76410.39925829071
2025-02-16,64423,65147.075567292966,64039.80519043297,56099.253408342236,74194.8977262437
2025-02-17,78114,78367.94595478513,78076.82032359172,69316.3091855717,87419.58272399855
2025-02-18,79075,78287.41358584217,79050.97367385018,69233.83444299853,87340.9927286858
2025-02-19,79643,77334.81690986332,80525.2838685133,68160.34730098254,86509.2865187441
2025-02-20,79895,79342.42423507995,79640.85883123253,70105.90380523488,88578.94466492502
2025-02-21,80061,79277.06025193301,80442.3710523648,70010.17259146135,88543.94791240468
2025-02-22,67988,67884.81170966582,67604.91018706656,58602.94082121948,77166.68259811217
2025-02-23,68283,67625.51428932192,67517.60819291095,58336.183074993096,76914.84550365074
2025-02-24,78296,80294.34701156284,80945.46779223341,71001.25806817974,89587.43595494595
2025-02-25,77625,78721.11353400795,78187.48417636463,69426.10257681228,88016.12449120362
2025-02-26,75917,75766.74719545149,77239.11850929658,66353.70944120138,85179.7849497016
2025-02-27,75932,76769.09315890392,75730.01695264761,67295.3978693851,86242.78844842275
2025-02-28,73438,76129.65964407593,76267.2323311148,66626.23675591659,85633.08253223528
2025-03-01,63248,59326.70032024557,56692.227194626925,49808.58360516609,68844.81703532505
2025-03-02,61922,63267.044793653855,66167.57953307751,53741.59432733213,72792.49525997558
2025-03-03,67656,72356.77075870361,70754.93016118779,62827.61425717867,81885.92726022855
2025-03-04,85127,77483.78742925993,74879.32120956926,67952.72695958815,87014.84789893171
2025-03-05,80532,75123.6174084551,82560.9028858985,65477.18683944408,84770.04797746612
2025-03-06,75167,76510.87518242314,79168.71809119555,66805.08025904377,86216.67010580252
2025-03-07,74255,76140.72618569578,75043.20650266761,66405.79680081288,85875.65557057867
2025-03-08,63786,64587.18609745019,64389.56079043293,54837.83062008461,74336.54157481577
2025-03-09,62382,63472.50660940003,61748.93715393537,53715.93392700545,73229.07929179461
2025-03-10,72266,76151.63467390244,73984.56616661958,66391.40307728022,85911.86627052467
2025-03-11,71531,74327.4427930815,75213.2554509867,64565.32323598434,84089.56235017866
2025-03-12,71900,73462.90727578856,72834.41000491854,63587.890860067484,83337.92369150963
2025-03-13,71956,74191.10979118766,70865.33969953001,64257.9332999148,84124.28628246051
2025-03-14,68297,72538.99445721376,70739.90201029544,62577.235323214685,82500.75359121284
2025-03-15,61990,62083.00752199998,59899.48408684747,52107.0707768847,72058.94426711526
2025-03-16,64455,63375.38657486418,62459.93369280521,53392.3402642,73358.43288552835
2025-03-17,74273,76315.23641099558,75272.3521064893,66328.57424895029,86301.89857304087
2025-03-18,79892,77135.75431013182,78065.4946821946,67147.21838820318,87124.29023206045
2025-03-19,74254,74704.4304777887,77815.91955005631,64605.307413753675,84803.55354182373
2025-03-20,71832,75211.6426398797,72986.30477316376,65055.48439971214,85367.80088004726
2025-03-21,68159,73413.11055094792,70101.29232702572,63228.88457369939,83597.33652819647
2025-03-22,60131,60924.72168986846,58630.948637723515,50726.549384316844,71122.89399542008
2025-03-23,59671,59269.13657853141,58418.684038076724,49063.95439478649,69474.31876227634
2025-03-24,68066,72300.15128229946,70533.38728908182,62091.392689683926,82508.90987491499
2025-03-25,68612,71500.91420398414,71448.76137171133,61290.29444118871,81711.53396677958
2025-03-26,67221,68441.12341859193,66539.39589362578,58122.07973759499,78760.16709958887
2025-03-27,69183,71815.44601074589,68777.55375369951,61440.42083083741,82190.47119065437
2025-03-28,67840,73121.98610634927,69855.95398689469,62719.37495937434,83524.5972533242
2025-03-29,62150,63035.3881976178,61090.573259223704,52619.04656879619,73451.72982643942
2025-03-30,61624,62413.31851047372,61810.028523418674,51990.0595572879,72836.57746365955
2025-03-31,69168,74873.16909069582,71572.85555306954,64446.36992600888,85299.96825538277
2025-04-01,69182,73384.68878110326,71454.93994478516,62956.0395930342,83813.33796917234
2025-04-02,69045,72738.13976713596,70177.30735902915,62203.09804417252,83273.18149009939
2025-04-03,68704,74623.11030054284,69962.52469049196,64033.076567340504,85213.1440337452
2025-04-04,66311,73884.58508948766,67761.82510606741,63267.41728387011,84501.75289510522
2025-04-05,60778,63936.584712524615,60661.0887548046,53305.888356375166,74567.28106867407
2025-04-06,58920,60743.15950527493,58458.922195991094,50105.631951543786,71380.68705900607
2025-04-07,67482,72502.01130655209,67860.27522235438,61860.976817163326,83143.04579594084
2025-04-08,67166,71292.26282353292,69280.5309728515,60649.38815941043,81935.1374876554
2025-04-09,67503,70613.00169184562,67760.99517573537,59865.646718850054,81360.3566648412
2025-04-10,67051,71937.84778715398,67329.10800035945,61136.43220541291,82739.26336889504
2025-04-11,64924,70788.95342190389,65027.32219302662,59960.82861756424,81617.07822624354
2025-04-12,58924,60999.323415509134,58944.359468188726,50157.85939772228,71840.78743329599
2025-04-13,59804,61777.03670114287,60375.68215207526,50928.821798802805,72625.25160348293
2025-04-14,71667,76457.2327624571,71631.06269331461,65605.54155953853,87308.92396537568
2025-04-15,68752,73376.43485185562,70978.98686043688,62522.91215017607,84229.95755353518
2025-04-16,67535,69674.23762981482,66407.08012868799,58718.03872994251,80630.43652968711
2025-04-17,67939,72121.11087070488,68161.98584391935,61111.72999840582,83130.49174300395
2025-04-18,66383,71263.77977976337,65991.72520367481,60228.08996070034,82299.4695988264
2025-04-19,60286,59826.924282674045,58457.59204213882,48778.07314621921,70875.77541912888
2025-04-20,58683,58461.15760469491,58693.542731434376,47405.630618235926,69516.6845911539
2025-04-21,67710,71415.45718897933,68144.65965481295,60356.48214115515,82474.4322368035
2025-04-22,69713,70906.64066609892,68667.13452503363,59845.84173215945,81967.43960003837
2025-04-23,67083,68234.83034752803,67741.04517514423,57073.06087450919,79396.59982054686
2025-04-24,66740,70288.25729767297,66926.88050182171,59074.13638936172,81502.37820598422
2025-04-25,64865,70288.0305774103,65569.47198682887,59047.97859196324,81528.08256285737
2025-04-26,57963,58628.63941291494,57375.82089544095,47375.59357693665,69881.68524889323
2025-04-27,57477,57304.55123846988,56743.84192952484,46044.89977807549,68564.20269886428
2025-04-28,66068,70565.01579888423,67151.40561384114,59301.94233515703,81828.08926261142
2025-04-29,66232,70055.22434363203,67587.02023068149,58790.333638881624,81320.11504838243
2025-04-30,65333,67187.80734780492,64605.71160245461,55823.56181052476,78552.05288508507
2025-05-01,61111,72060.72268990244,68185.16486108406,60644.91226556641,83476.53311423847
2025-05-02,61909,70711.55835647682,60472.482479883045,59270.17422921485,82152.94248373879
2025-05-03,57168,61593.19550603487,58154.18348857659,50138.97545783875,73047.41555423099
2025-05-04,55754,58237.5026997486,55229.408567403094,46776.74285751594,69698.26254198125
2025-05-05,57374,67290.24292757007,61724.24867010466,55826.085147928425,78754.40070721171
2025-05-06,59717,66021.88013652673,59291.40084737609,54555.91087767453,77487.84939537893
2025-05-07,65492,69424.73832993579,65357.25319494226,57860.94750113935,80988.52915873223
2025-05-08,66515,70138.67564042563,62805.18185001917,58524.066120683936,81753.28516016733
2025-05-09,69578,72073.60773159182,67549.82093567621,60433.76307932676,83713.45238385689
2025-05-10,59775,61035.84301336288,61719.557833139355,49383.31162214101,72688.37440458476
2025-05-11,58905,58859.58137840606,58160.0240466136,47200.57199450473,70518.59076230739
2025-05-12,67736,70334.81600532607,65327.88830633709,58672.430925066205,81997.20108558593
2025-05-13,68714,70023.70234113625,68659.95135676183,58359.510734676136,81687.89394759636
2025-05-14,68653,69522.34373949307,68953.57087464175,57761.78804340572,81282.8994355804
2025-05-15,69998,72476.63787914596,68458.68496716212,60665.97256716743,84287.30319112449
2025-05-16,72857,72925.82484621416,69722.69226787158,61090.245671973484,84761.40402045485
2025-05-17,61203,59434.75484206545,61314.65019665769,47586.630065138466,71282.87961899243
2025-05-18,58594,57410.096125144264,59049.502963253624,45555.55145326739,69264.64079702113
2025-05-19,68353,70838.10083347773,67370.87601389426,58980.2010299363,82696.00063701915
2025-05-20,72893,75196.28829210227,73904.44031306199,63336.58617265391,87055.99041155062
2025-05-21,74239,75125.87745353897,73752.77724939176,63171.198876190996,87080.55603088693
2025-05-22,71622,74051.0674003818,70400.8869436999,62046.95404282234,86055.18075794126
2025-05-23,67177,71390.3569800402,69067.42807094796,59361.6350720238,83419.07888805661
2025-05-24,58828,60573.090263324084,59479.555050519055,48531.95646947307,72614.2240571751
2025-05-25,58337,57954.71932148802,56988.625362521365,45907.22031702775,70002.21832594828
2025-05-26,68026,71299.93992688137,67541.29918294406,59249.10481148536,83350.77504227738
2025-05-27,69448,70978.88578586567,68842.66883336748,58926.25188100045,83031.5196907309
2025-05-28,68575,69658.31402867519,68994.88196842482,57512.02675382408,81804.60130352629
2025-05-29,69244,71283.03590238938,67790.43701237733,59087.95702297942,83478.11478179935
2025-05-30,67178,71094.99578583453,68456.05926532143,58875.59891073676,83314.39266093231
2025-05-31,59788,59872.65469040991,58803.73464785238,47640.97278770153,72104.33659311829
2025-06-01,60283,60194.59515465763,60806.63416645295,47956.59957208763,72432.59073722764
2025-06-02,69209,73152.23837674574,69271.19748157272,60910.92427843783,85393.55247505364
2025-06-03,62134,66091.03086657973,63669.07434312129,53847.920873998024,78334.14085916145
2025-06-04,68127,69984.34971122703,67457.43311311898,57648.84965174189,82319.84977071217
2025-06-05,68191,72852.72144858053,69226.07867222151,60469.043616711795,85236.39928044927
2025-06-06,63003,69074.80047212598,64234.55612104654,56667.081521720596,81482.51942253136
2025-06-07,61690,64235.85609096005,61948.575169001335,51815.972616355204,76655.7395655649
2025-06-08,63953,64963.65476539591,63662.428980217366,52537.50622140278,77389.80330938904
2025-06-09,74569,77730.88694352489,73067.73755972029,65301.43615976126,90160.33772728853
2025-06-10,73235,75583.57032917424,73291.9604549554,63152.325962275434,88014.81469607305
2025-06-11,70733,73702.78461340134,72514.93923327271,61180.357981114386,86225.21124568829
2025-06-12,73440,77556.81839717485,72780.53725474651,64986.8005683546,90126.8362259951
2025-06-13,73842,76664.73441160229,71910.5123697906,64070.93963663649,89258.52918656809
2025-06-14,66062,66818.28472557591,66763.56322253798,54212.440029053556,79424.12942209827
2025-06-15,68191,66805.40602843216,66829.81831415211,54193.342162915396,79417.46989394893
2025-06-16,79094,78875.6708465211,76332.21885885966,66260.31979367933,91491.02189936287
2025-06-17,76928,78163.2036830836,78277.60719507701,65546.06081663925,90780.34654952795
2025-06-18,76769,77027.4209767181,76069.23230398282,64320.25201176655,89734.58994166966
2025-06-19,80132,81218.8139747332,78581.03744228175,68464.61501888656,93973.01293057985
2025-06-20,81637,80588.80013176965,78541.64291194871,67811.0765768271,93366.5236867122
2025-06-21,67111,66386.60297869322,68873.97997293685,53596.93861446764,79176.2673429188
2025-06-22,63748,64064.953877610664,65473.21408174757,51269.11372462582,76860.79403059551
2025-06-23,77000,79499.45530702942,76460.95478110522,66700.34188206925,92298.5687319896
2025-06-24,77050,78212.74108855672,76020.64495502082,65411.837116224924,91013.64506088852
2025-06-25,73192,74701.06189802427,74070.24760085814,61811.23986060744,87590.8839354411
2025-06-26,74223,77169.14469730269,74055.76191288169,64232.830213680936,90105.45918092444
2025-06-27,76223,79111.72157289929,76584.59778390016,66152.12380907015,92071.31933672843
2025-06-28,71638,69792.02124310791,68992.5685494665,56820.58666388237,82763.45582233346
2025-06-29,72284,69744.50851385592,71504.55570024572,56766.93917802719,82722.07784968466
2025-06-30,85599,83779.78754742608,82871.5394216391,70798.95779613726,96760.6172987149
2025-07-01,89209,83761.33908455519,84947.27210320209,70778.71958348401,96743.95858562637
