year,sido_code,sido_name,population,weight
2010,11,서울특별시,10312545,0.2041454823143379
2010,26,부산광역시,3567910,0.07062977255412212
2010,27,대구광역시,2511676,0.04972073415799368
2010,28,인천광역시,2758296,0.05460278401555668
2010,29,광주광역시,1454636,0.028795740315489458
2010,30,대전광역시,1503664,0.029766290718605988
2010,31,울산광역시,1126298,0.02229601407214942
2010,41,경기도,11786622,0.23332607353924623
2010,43,충청북도,1549528,0.030674207086569937
2010,44,충청남도(세종통합),2075514,0.04108654135135029
2010,46,전라남도,1918485,0.037978020521396275
2010,47,경상북도,2689920,0.053249223716064636
2010,48,경상남도,3290536,0.06513892145854318
2010,50,제주특별자치도,571255,0.01130847210843464
2010,51,강원특별자치도,1529818,0.030284031096412745
2010,52,전북특별자치도,1868963,0.03699769097372684
2011,11,서울특별시,10249679,0.20202668081410197
2011,26,부산광역시,3550963,0.06999138886044001
2011,27,대구광역시,2507271,0.04941965870652673
2011,28,인천광역시,2801274,0.05521461582073377
2011,29,광주광역시,1463464,0.028845661840817542
2011,30,대전광역시,1515603,0.029873349548009784
2011,31,울산광역시,1135494,0.022381196904247235
2011,41,경기도,11937415,0.23529286428877166
2011,43,충청북도,1562903,0.030805657964937477
2011,44,충청남도(세종통합),2101284,0.041417436777071694
2011,46,전라남도,1914339,0.03773265037109817
2011,47,경상북도,2699195,0.05320258387799461
2011,48,경상남도,3308765,0.0652175361339484
2011,50,제주특별자치도,576156,0.011356344360748246
2011,51,강원특별자치도,1536448,0.03028421569919071
2011,52,전북특별자치도,1874031,0.03693815803136199
2012,11,서울특별시,10195318,0.20011116373093085
2012,26,부산광역시,3538484,0.06945248309893612
2012,27,대구광역시,2505644,0.04918015668912186
2012,28,인천광역시,2843981,0.055820951101148236
2012,29,광주광역시,1469216,0.028837405908486945
2012,30,대전광역시,1524583,0.029924135601694206
2012,31,울산광역시,1147256,0.02251805517564953
2012,41,경기도,12093299,0.23736426232473595
2012,43,충청북도,1565628,0.030729756644150757
2012,44,충청남도(세종통합),2141894,0.04204056223928458
2012,46,전라남도,1909618,0.0374815067329467
2012,47,경상북도,2698353,0.052962600969077026
2012,48,경상남도,3319314,0.06515066889805408
2012,50,제주특별자치도,583713,0.011456973457313724
2012,51,강원특별자치도,1538630,0.03019984662090208
2012,52,전북특별자치도,1873341,0.03676947080756733
2013,11,서울특별시,10143645,0.1983448342101594
2013,26,부산광역시,3527635,0.06897798367637625
2013,27,대구광역시,2501588,0.048915065257323594
2013,28,인천광역시,2879782,0.05631012159351014
2013,29,광주광역시,1472910,0.028800701301798893
2013,30,대전광역시,1532811,0.02997198183399642
2013,31,울산광역시,1156480,0.022613353865140698
2013,41,경기도,12234630,0.2392311303257007
2013,43,충청북도,1572732,0.03075258132525462
2013,44,충청남도(세종통합),2169784,0.04242710068736203
2013,46,전라남도,1907172,0.03729208919971648
2013,47,경상북도,2699440,0.05278378524290555
2013,48,경상남도,3333820,0.06518820159681392
2013,50,제주특별자치도,593806,0.011611048358159015
2013,51,강원특별자치도,1542263,0.03015680251462497
2013,52,전북특별자치도,1872965,0.036623219011157344
2014,11,서울특별시,10103233,0.1968369999670355
2014,26,부산광역시,3519401,0.06856699578451617
2014,27,대구광역시,2493264,0.04857520418323627
2014,28,인천광역시,2902608,0.0565502795788553
2014,29,광주광역시,1475884,0.02875402149582695
2014,30,대전광역시,1531809,0.029843584532050747
2014,31,울산광역시,1166377,0.022724027992876237
2014,41,경기도,12357830,0.24076235629749707
2014,43,충청북도,1578933,0.030761681421080878
2014,44,충청남도(세종통합),2218398,0.043220106579039755
2014,46,전라남도,1905780,0.037129502783631425
2014,47,경상북도,2700794,0.05261842308189563
2014,48,경상남도,3350257,0.06527163502995134
2014,50,제주특별자치도,607346,0.011832664314678196
2014,51,강원특별자치도,1544442,0.030089707908655398
2014,52,전북특별자치도,1871560,0.036462809049173164
2015,11,서울특별시,10022181,0.19449465855742218
2015,26,부산광역시,3513777,0.06818983391558417
2015,27,대구광역시,2487829,0.0482798556426244
2015,28,인천광역시,2925815,0.056779596120563394
2015,29,광주광역시,1472199,0.028570112816120402
2015,30,대전광역시,1518775,0.029473986256140144
2015,31,울산광역시,1173534,0.022774094245107516
2015,41,경기도,12522606,0.24301895747234323
2015,43,충청북도,1583952,0.03073883852340583
2015,44,충청남도(세종통합),2288533,0.04441223366774089
2015,46,전라남도,1908996,0.03704677906011523
2015,47,경상북도,2702826,0.052452177825377845
2015,48,경상남도,3364702,0.0652968217833499
2015,50,제주특별자치도,624395,0.012117271912167783
2015,51,강원특별자치도,1549507,0.0300703843701621
2015,52,전북특별자치도,1869711,0.03628439783177498
2016,11,서울특별시,9930616,0.19209560715236876
2016,26,부산광역시,3498529,0.06767475979286376
2016,27,대구광역시,2484557,0.0480607129929974
2016,28,인천광역시,2943069,0.05693006621606502
2016,29,광주광역시,1469214,0.028420145876827813
2016,30,대전광역시,1514370,0.029293633406359956
2016,31,울산광역시,1172304,0.022676785473041198
2016,41,경기도,12716780,0.24599053826299394
2016,43,충청북도,1591625,0.030788036787837623
2016,44,충청남도(세종통합),2339775,0.045260082478764015
2016,46,전라남도,1903914,0.0368288851160789
2016,47,경상북도,2700398,0.05223589285529138
2016,48,경상남도,3373871,0.06526340341815347
2016,50,제주특별자치도,641597,0.012410908372868143
2016,51,강원특별자치도,1550806,0.029998443212942316
2016,52,전북특별자치도,1864791,0.036072098584546304
2017,11,서울특별시,9857426,0.1903766548553393
2017,26,부산광역시,3470653,0.0670287870589795
2017,27,대구광역시,2475231,0.047804183138096736
2017,28,인천광역시,2948542,0.056945247436853384
2017,29,광주광역시,1463770,0.028269817706731964
2017,30,대전광역시,1502227,0.029012538475396296
2017,31,울산광역시,1165132,0.022502216362051432
2017,41,경기도,12873895,0.24863377772847378
2017,43,충청북도,1594432,0.030793295385053703
2017,44,충청남도(세종통합),2396870,0.046290795662388654
2017,46,전라남도,1896424,0.03662567259519696
2017,47,경상북도,2691706,0.05198496890912962
2017,48,경상남도,3380404,0.06528580641433254
2017,50,제주특별자치도,657083,0.012690256411999534
2017,51,강원특별자치도,1550142,0.029937921777020225
2017,52,전북특별자치도,1854607,0.03581806008295637
2018,11,서울특별시,9765623,0.1884307467793374
2018,26,부산광역시,3441453,0.06640391082023042
2018,27,대구광역시,2461769,0.04750060196550928
2018,28,인천광역시,2954642,0.057010740484820584
2018,29,광주광역시,1459336,0.028158344048502704
2018,30,대전광역시,1489936,0.02874878060861236
2018,31,울산광역시,1155623,0.022298106826915007
2018,41,경기도,13077153,0.2523277527237794
2018,43,충청북도,1599252,0.030858066981323044
2018,44,충청남도(세종통합),2440408,0.04708843479686541
2018,46,전라남도,1882970,0.036332494431035166
2018,47,경상북도,2676831,0.05165029044558453
2018,48,경상남도,3373988,0.065102152567688
2018,50,제주특별자치도,667191,0.012873658790069298
2018,51,강원특별자치도,1543052,0.029773670423213158
2018,52,전북특별자치도,1836832,0.035442247306514275
2019,11,서울특별시,9729107,0.18763998229426304
2019,26,부산광역시,3413841,0.06584089010383268
2019,27,대구광역시,2438031,0.047020974656036205
2019,28,인천광역시,2957026,0.05703054825932899
2019,29,광주광역시,1456468,0.028090104233837773
2019,30,대전광역시,1474870,0.028445013574867634
2019,31,울산광역시,1148019,0.022141216540580506
2019,41,경기도,13239666,0.25534621973239235
2019,43,충청북도,1600007,0.03085846266781699
2019,44,충청남도(세종통합),2464284,0.04752730195361565
2019,46,전라남도,1868745,0.03604146595494248
2019,47,경상북도,2665836,0.051414525489277586
2019,48,경상남도,3362553,0.06485172641060696
2019,50,제주특별자치도,670989,0.01294099901251423
2019,51,강원특별자치도,1541502,0.029730108630378005
2019,52,전북특별자치도,1818917,0.03508046048570892
2020,11,서울특별시,9668465,0.18654538404090695
2020,26,부산광역시,3391946,0.06544491490800435
2020,27,대구광역시,2418346,0.04666007306369638
2020,28,인천광역시,2942828,0.05677953836791406
2020,29,광주광역시,1450062,0.027977799234224422
2020,30,대전광역시,1463882,0.028244445202063716
2020,31,울산광역시,1136017,0.021918549381106413
2020,41,경기도,13427014,0.259063613836595
2020,43,충청북도,1600837,0.03088688359030036
2020,44,충청남도(세종통합),2476860,0.04778905440683302
2020,46,전라남도,1851549,0.035724173307299274
2020,47,경상북도,2639422,0.050925559603930796
2020,48,경상남도,3340216,0.06444682547845827
2020,50,제주특별자치도,674635,0.013016548662319952
2020,51,강원특별자치도,1542840,0.02976787735319649
2020,52,전북특별자치도,1804104,0.034808759563150556
2021,11,서울특별시,9509458,0.1841533177111037
2021,26,부산광역시,3350380,0.06488104712097446
2021,27,대구광역시,2385412,0.046194171519331514
2021,28,인천광역시,2948375,0.05709610769682934
2021,29,광주광역시,1441611,0.02791720080143599
2021,30,대전광역시,1452251,0.028123247381635002
2021,31,울산광역시,1121592,0.02171994323106871
2021,41,경기도,13565450,0.2626987388496896
2021,43,충청북도,1597427,0.030934621284545893
2021,44,충청남도(세종통합),2491152,0.04824185623645968
2021,46,전라남도,1832803,0.03549274345192586
2021,47,경상북도,2626609,0.05086501898213803
2021,48,경상남도,3314183,0.06418008207741585
2021,50,제주특별자치도,676759,0.013105627591062373
2021,51,강원특별자치도,1538492,0.029793328502212356
2021,52,전북특별자치도,1786855,0.0346029475621717
2022,11,서울특별시,9428372,0.1832921525476429
2022,26,부산광역시,3317812,0.06449988430965603
2022,27,대구광역시,2363691,0.045951306476610235
2022,28,인천광역시,2967314,0.057686032153245165
2022,29,광주광역시,1431050,0.027820310325399163
2022,30,대전광역시,1446072,0.028112345335851732
2022,31,울산광역시,1110663,0.021591830702588178
2022,41,경기도,13589432,0.2641851894664127
2022,43,충청북도,1595058,0.031008705878208687
2022,44,충청남도(세종통합),2506628,0.04873007150716932
2022,46,전라남도,1817697,0.03533691668183997
2022,47,경상북도,2600492,0.05055483347103031
2022,48,경상남도,3280493,0.06377438473868816
2022,50,제주특별자치도,678159,0.013183741888796598
2022,51,강원특별자치도,1536498,0.029870270902033588
2022,52,전북특별자치도,1769607,0.034402023614827325
2023,11,서울특별시,9386034,0.1828733333594413
2023,26,부산광역시,3293362,0.06416640797373165
2023,27,대구광역시,2374960,0.04627266977674902
2023,28,인천광역시,2997410,0.05840021015744488
2023,29,광주광역시,1419237,0.027651785729420262
2023,30,대전광역시,1442216,0.028099498397759905
2023,31,울산광역시,1103661,0.021503242580286238
2023,41,경기도,13630821,0.2655768850502644
2023,43,충청북도,1593469,0.031046444923908817
2023,44,충청남도(세종통합),2516644,0.04903317814095259
2023,46,전라남도,1804217,0.035152565704936835
2023,47,경상북도,2554324,0.049767318588449766
2023,48,경상남도,3251158,0.06334412391199674
2023,50,제주특별자치도,675252,0.013156311185068098
2023,51,강원특별자치도,1527807,0.029767115569780372
2023,52,전북특별자치도,1754757,0.034188908949809166
2024,11,서울특별시,9331828,0.18220098275148508
2024,26,부산광역시,3266598,0.06377929017273311
2024,27,대구광역시,2363629,0.046149106762352454
2024,28,인천광역시,3021010,0.05898426234410493
2024,29,광주광역시,1408422,0.02749899296566676
2024,30,대전광역시,1439157,0.028099084095171818
2024,31,울산광역시,1098049,0.021439058554153106
2024,41,경기도,13694685,0.2673843822959469
2024,43,충청북도,1591177,0.031067226392466705
2024,44,충청남도(세종통합),2527259,0.049343930628333
2024,46,전라남도,1788819,0.03492612377387676
2024,47,경상북도,2531384,0.04942446994537247
2024,48,경상남도,3228380,0.06303309584094771
2024,50,제주특별자치도,670368,0.013088722638817128
2024,51,강원특별자치도,1517766,0.029633899894724862
2024,52,전북특별자치도,1738690,0.033947370943847185
2025,11,서울특별시,9299548,0.18192537183734267
2025,26,부산광역시,3241600,0.06341483320995063
2025,27,대구광역시,2353032,0.04603193849261987
2025,28,인천광역시,3051961,0.05970495982794736
2025,29,광주광역시,1392013,0.027231697995151474
2025,30,대전광역시,1440729,0.028184720272624312
2025,31,울산광역시,1091948,0.02136158079156564
2025,41,경기도,13730135,0.26860014220604195
2025,43,충청북도,1596502,0.03123207923536297
2025,44,충청남도(세종통합),2528718,0.04946885186481983
2025,46,전라남도,1779135,0.03480489550931192
2025,47,경상북도,2506526,0.049034713791462466
2025,48,경상남도,3207383,0.06274545224131019
2025,50,제주특별자치도,664792,0.013005205392185804
2025,51,강원특별자치도,1508500,0.029510512061084196
2025,52,전북특별자치도,1724856,0.03374304527121872
