year,sido_code,sido_name,population
2010,11,서울특별시,10312545
2010,26,부산광역시,3567910
2010,27,대구광역시,2511676
2010,28,인천광역시,2758296
2010,29,광주광역시,1454636
2010,30,대전광역시,1503664
2010,31,울산광역시,1126298
2010,41,경기도,11786622
2010,43,충청북도,1549528
2010,44,충청남도,2075514
2010,46,전라남도,1918485
2010,47,경상북도,2689920
2010,48,경상남도,3290536
2010,50,제주특별자치도,571255
2010,51,강원특별자치도,1529818
2010,52,전북특별자치도,1868963
2011,11,서울특별시,10249679
2011,26,부산광역시,3550963
2011,27,대구광역시,2507271
2011,28,인천광역시,2801274
2011,29,광주광역시,1463464
2011,30,대전광역시,1515603
2011,31,울산광역시,1135494
2011,41,경기도,11937415
2011,43,충청북도,1562903
2011,44,충청남도,2101284
2011,46,전라남도,1914339
2011,47,경상북도,2699195
2011,48,경상남도,3308765
2011,50,제주특별자치도,576156
2011,51,강원특별자치도,1536448
2011,52,전북특별자치도,1874031
2012,11,서울특별시,10195318
2012,26,부산광역시,3538484
2012,27,대구광역시,2505644
2012,28,인천광역시,2843981
2012,29,광주광역시,1469216
2012,30,대전광역시,1524583
2012,31,울산광역시,1147256
2012,36,세종특별자치시,113117
2012,41,경기도,12093299
2012,43,충청북도,1565628
2012,44,충청남도,2028777
2012,46,전라남도,1909618
2012,47,경상북도,2698353
2012,48,경상남도,3319314
2012,50,제주특별자치도,583713
2012,51,강원특별자치도,1538630
2012,52,전북특별자치도,1873341
2013,11,서울특별시,10143645
2013,26,부산광역시,3527635
2013,27,대구광역시,2501588
2013,28,인천광역시,2879782
2013,29,광주광역시,1472910
2013,30,대전광역시,1532811
2013,31,울산광역시,1156480
2013,36,세종특별자치시,122153
2013,41,경기도,12234630
2013,43,충청북도,1572732
2013,44,충청남도,2047631
2013,46,전라남도,1907172
2013,47,경상북도,2699440
2013,48,경상남도,3333820
2013,50,제주특별자치도,593806
2013,51,강원특별자치도,1542263
2013,52,전북특별자치도,1872965
2014,11,서울특별시,10103233
2014,26,부산광역시,3519401
2014,27,대구광역시,2493264
2014,28,인천광역시,2902608
2014,29,광주광역시,1475884
2014,30,대전광역시,1531809
2014,31,울산광역시,1166377
2014,36,세종특별자치시,156125
2014,41,경기도,12357830
2014,43,충청북도,1578933
2014,44,충청남도,2062273
2014,46,전라남도,1905780
2014,47,경상북도,2700794
2014,48,경상남도,3350257
2014,50,제주특별자치도,607346
2014,51,강원특별자치도,1544442
2014,52,전북특별자치도,1871560
2015,11,서울특별시,10022181
2015,26,부산광역시,3513777
2015,27,대구광역시,2487829
2015,28,인천광역시,2925815
2015,29,광주광역시,1472199
2015,30,대전광역시,1518775
2015,31,울산광역시,1173534
2015,36,세종특별자치시,210884
2015,41,경기도,12522606
2015,43,충청북도,1583952
2015,44,충청남도,2077649
2015,46,전라남도,1908996
2015,47,경상북도,2702826
2015,48,경상남도,3364702
2015,50,제주특별자치도,624395
2015,51,강원특별자치도,1549507
2015,52,전북특별자치도,1869711
2016,11,서울특별시,9930616
2016,26,부산광역시,3498529
2016,27,대구광역시,2484557
2016,28,인천광역시,2943069
2016,29,광주광역시,1469214
2016,30,대전광역시,1514370
2016,31,울산광역시,1172304
2016,36,세종특별자치시,243048
2016,41,경기도,12716780
2016,43,충청북도,1591625
2016,44,충청남도,2096727
2016,46,전라남도,1903914
2016,47,경상북도,2700398
2016,48,경상남도,3373871
2016,50,제주특별자치도,641597
2016,51,강원특별자치도,1550806
2016,52,전북특별자치도,1864791
2017,11,서울특별시,9857426
2017,26,부산광역시,3470653
2017,27,대구광역시,2475231
2017,28,인천광역시,2948542
2017,29,광주광역시,1463770
2017,30,대전광역시,1502227
2017,31,울산광역시,1165132
2017,36,세종특별자치시,280100
2017,41,경기도,12873895
2017,43,충청북도,1594432
2017,44,충청남도,2116770
2017,46,전라남도,1896424
2017,47,경상북도,2691706
2017,48,경상남도,3380404
2017,50,제주특별자치도,657083
2017,51,강원특별자치도,1550142
2017,52,전북특별자치도,1854607
2018,11,서울특별시,9765623
2018,26,부산광역시,3441453
2018,27,대구광역시,2461769
2018,28,인천광역시,2954642
2018,29,광주광역시,1459336
2018,30,대전광역시,1489936
2018,31,울산광역시,1155623
2018,36,세종특별자치시,314126
2018,41,경기도,13077153
2018,43,충청북도,1599252
2018,44,충청남도,2126282
2018,46,전라남도,1882970
2018,47,경상북도,2676831
2018,48,경상남도,3373988
2018,50,제주특별자치도,667191
2018,51,강원특별자치도,1543052
2018,52,전북특별자치도,1836832
2019,11,서울특별시,9729107
2019,26,부산광역시,3413841
2019,27,대구광역시,2438031
2019,28,인천광역시,2957026
2019,29,광주광역시,1456468
2019,30,대전광역시,1474870
2019,31,울산광역시,1148019
2019,36,세종특별자치시,340575
2019,41,경기도,13239666
2019,43,충청북도,1600007
2019,44,충청남도,2123709
2019,46,전라남도,1868745
2019,47,경상북도,2665836
2019,48,경상남도,3362553
2019,50,제주특별자치도,670989
2019,51,강원특별자치도,1541502
2019,52,전북특별자치도,1818917
2020,11,서울특별시,9668465
2020,26,부산광역시,3391946
2020,27,대구광역시,2418346
2020,28,인천광역시,2942828
2020,29,광주광역시,1450062
2020,30,대전광역시,1463882
2020,31,울산광역시,1136017
2020,36,세종특별자치시,355831
2020,41,경기도,13427014
2020,43,충청북도,1600837
2020,44,충청남도,2121029
2020,46,전라남도,1851549
2020,47,경상북도,2639422
2020,48,경상남도,3340216
2020,50,제주특별자치도,674635
2020,51,강원특별자치도,1542840
2020,52,전북특별자치도,1804104
2021,11,서울특별시,9509458
2021,26,부산광역시,3350380
2021,27,대구광역시,2385412
2021,28,인천광역시,2948375
2021,29,광주광역시,1441611
2021,30,대전광역시,1452251
2021,31,울산광역시,1121592
2021,36,세종특별자치시,371895
2021,41,경기도,13565450
2021,43,충청북도,1597427
2021,44,충청남도,2119257
2021,46,전라남도,1832803
2021,47,경상북도,2626609
2021,48,경상남도,3314183
2021,50,제주특별자치도,676759
2021,51,강원특별자치도,1538492
2021,52,전북특별자치도,1786855
2022,11,서울특별시,9428372
2022,26,부산광역시,3317812
2022,27,대구광역시,2363691
2022,28,인천광역시,2967314
2022,29,광주광역시,1431050
2022,30,대전광역시,1446072
2022,31,울산광역시,1110663
2022,36,세종특별자치시,383591
2022,41,경기도,13589432
2022,43,충청북도,1595058
2022,44,충청남도,2123037
2022,46,전라남도,1817697
2022,47,경상북도,2600492
2022,48,경상남도,3280493
2022,50,제주특별자치도,678159
2022,51,강원특별자치도,1536498
2022,52,전북특별자치도,1769607
2023,11,서울특별시,9386034
2023,26,부산광역시,3293362
2023,27,대구광역시,2374960
2023,28,인천광역시,2997410
2023,29,광주광역시,1419237
2023,30,대전광역시,1442216
2023,31,울산광역시,1103661
2023,36,세종특별자치시,386525
2023,41,경기도,13630821
2023,43,충청북도,1593469
2023,44,충청남도,2130119
2023,46,전라남도,1804217
2023,47,경상북도,2554324
2023,48,경상남도,3251158
2023,50,제주특별자치도,675252
2023,51,강원특별자치도,1527807
2023,52,전북특별자치도,1754757
2024,11,서울특별시,9331828
2024,26,부산광역시,3266598
2024,27,대구광역시,2363629
2024,28,인천광역시,3021010
2024,29,광주광역시,1408422
2024,30,대전광역시,1439157
2024,31,울산광역시,1098049
2024,36,세종특별자치시,390685
2024,41,경기도,13694685
2024,43,충청북도,1591177
2024,44,충청남도,2136574
2024,46,전라남도,1788819
2024,47,경상북도,2531384
2024,48,경상남도,3228380
2024,50,제주특별자치도,670368
2024,51,강원특별자치도,1517766
2024,52,전북특별자치도,1738690
2025,11,서울특별시,9299548
2025,26,부산광역시,3241600
2025,27,대구광역시,2353032
2025,28,인천광역시,3051961
2025,29,광주광역시,1392013
2025,30,대전광역시,1440729
2025,31,울산광역시,1091948
2025,36,세종특별자치시,391965
2025,41,경기도,13730135
2025,43,충청북도,1596502
2025,44,충청남도,2136753
2025,46,전라남도,1779135
2025,47,경상북도,2506526
2025,48,경상남도,3207383
2025,50,제주특별자치도,664792
2025,51,강원특별자치도,1508500
2025,52,전북특별자치도,1724856
